es,var,study_id,factor_1,factor_2,factor_3
-0.0307197684782944,0.00161015403650952,6499,Randomized School, Cyberbullying, Public
0.0142067439126077,0.00161019325935144,6499,Randomized School, Cyberbullying, Public
-0.0291251209982841,0.00161014456407727,6499,Randomized School, Cyberbullying, Public
-0.00145628884079516,0.00174255754909033,6499,Randomized School, Cyberbullying, Public
-0.0030682019271923,0.00174254697148066,6499,Randomized School, Cyberbullying, Public
-0.00733303746845563,0.00197971186859453,6499,Randomized School, Cyberbullying, Public
-0.00868307765986741,0.00154333028901197,6499,Randomized School, Cyberbullying, Public
0.00769862579387223,0.00154348403741583,6499,Randomized School, Cyberbullying, Public
-0.0706226222328642,0.00199484433822576,6499,Randomized School, Cyberbullying, Public
0.0121089860185801,0.0013815216963926,6499,Randomized School, Internalizing, Public
0.0271451745293807,0.00138126558191794,6499,Randomized School, Internalizing, Public
-0.025782378965871,0.00138256470832777,6499,Randomized School, Internalizing, Public
0.0614625778458489,0.00298680376153992,6499,Randomized School, Internalizing, Public
0.079518650942999,0.00298777048772799,6499,Randomized School, Internalizing, Public
0.105622566169055,0.00298949117694406,6499,Randomized School, Internalizing, Public
0.165032368524432,0.0325868938297916,7704,Non-Randomized School, Aggression/Bullying, Public
-0.10581499131791,0.0613895991297383,7704,Non-Randomized School, Cyberbullying, Public
-0.303262498029456,0.087358659062599,7704,Non-Randomized School, Relational Aggression, Public
-0.198791645395199,0.0469823553278373,7704,Non-Randomized School, Aggression/Bullying, Public
0.0261109368768301,0.0871166974335272,7561,Non-Randomized School, Cyberbullying, Mixture
0.113501407661049,0.053568696733577,7561,Non-Randomized School, Aggression/Bullying, Mixture
-4.6279776760729e-4,0.0122053284550845,7650,Non-Randomized School, Aggression/Bullying, Private
0.0317433561553835,0.0120022451854476,7650,Non-Randomized School, Aggression/Bullying, Private
-0.0203180196472961,0.0156575700927285,7650,Non-Randomized School, Cyberbullying, Private
-0.0789816592258889,0.0153997062825653,7650,Non-Randomized School, Cyberbullying, Private
-0.0201317222520184,0.011993916321674,7650,Non-Randomized School, Aggression/Bullying, Private
-0.099277870941858,0.01201422962591,7650,Non-Randomized School, Aggression/Bullying, Private
-0.0290207088648648,0.0193222995073824,7650,Non-Randomized School, Relational Aggression, Private
-0.151290194920377,0.0190809383893182,7650,Non-Randomized School, Relational Aggression, Private
0.0598898817179186,0.0121592775945723,7650,Non-Randomized School, Aggression/Bullying, Private
-0.0295096130179064,0.0119731074364342,7650,Non-Randomized School, Aggression/Bullying, Private
-0.1114880544637,0.0136846384415096,7650,Non-Randomized School, Aggression/Bullying, Private
-0.0621654018704624,0.0134651601864163,7650,Non-Randomized School, Aggression/Bullying, Private
-0.0465464670499857,0.0159613304233156,7650,Non-Randomized School, Cyberbullying, Private
-0.0739299602716925,0.0156996814236799,7650,Non-Randomized School, Cyberbullying, Private
-0.0448600983721829,0.0123771662792727,7650,Non-Randomized School, Aggression/Bullying, Private
-0.122062209948473,0.0122135858948237,7650,Non-Randomized School, Aggression/Bullying, Private
-0.0527701833623519,0.0123874951350854,7650,Non-Randomized School, Relational Aggression, Private
-0.0413927050439732,0.0122143466618505,7650,Non-Randomized School, Relational Aggression, Private
-0.00726323001018879,0.0123936963427609,7650,Non-Randomized School, Aggression/Bullying, Private
-0.0414741331299425,0.0122291287484274,7650,Non-Randomized School, Aggression/Bullying, Private
0.265767631384564,0.0124352314800816,7650,Non-Randomized School, Aggression/Bullying, Private
0.0834620329424881,0.0130292756747748,7650,Non-Randomized School, Aggression/Bullying, Private
0.315496498752535,0.0166754267516678,7650,Non-Randomized School, Cyberbullying, Mixture
0.015033057426029,0.0167017278642058,7650,Non-Randomized School, Cyberbullying, Private
0.231845137930891,0.0129354050398799,7650,Non-Randomized School, Aggression/Bullying, Private
-0.0155218572768061,0.0129322501266673,7650,Non-Randomized School, Aggression/Bullying, Private
0.336387847782851,0.0206141613751095,7650,Non-Randomized School, Relational Aggression, Private
-0.00935093116641051,0.0205539981321709,7650,Non-Randomized School, Relational Aggression, Private
0.163133944867457,0.0129235257626432,7650,Non-Randomized School, Aggression/Bullying, Private
0.0433410103381247,0.0129282223067056,7650,Non-Randomized School, Aggression/Bullying, Private
0.226572685307191,0.0145100376262073,7650,Non-Randomized School, Aggression/Bullying, Private
0.0010844927326452,0.0145877715759935,7650,Non-Randomized School, Aggression/Bullying, Private
0.346642525537919,0.016988991747393,7650,Non-Randomized School, Cyberbullying, Private
0.0665944862142467,0.0170235986852755,7650,Non-Randomized School, Cyberbullying, Private
0.163196894679962,0.0131646050184036,7650,Non-Randomized School, Aggression/Bullying, Private
-0.058248560146783,0.0131900225635277,7650,Non-Randomized School, Aggression/Bullying, Private
0.228260587065542,0.0132036472557528,7650,Non-Randomized School, Relational Aggression, Private
0.0180500573898142,0.013177140365338,7650,Non-Randomized School, Relational Aggression, Private
0.0593903341458434,0.013153810556786,7650,Non-Randomized School, Aggression/Bullying, Private
0.0158348150379611,0.0131776021828762,7650,Non-Randomized School, Aggression/Bullying, Private
-0.297634199058214,0.0031511425186431,7714,Randomized School, Aggression/Bullying, Public
-0.235207034724674,0.00637184113010386,7714,Randomized School, Aggression/Bullying, Mixture
